Date,Open,High,Low,Close,Adj Close,Volume
6/16/2021,273.059998,281.579987,272,279.459991,279.459991,1568500
6/17/2021,281.73999,292,280.299988,291.160004,291.160004,2260100
6/18/2021,291.709991,296.619995,288.170013,294.320007,294.320007,2017000
6/21/2021,297.390015,299.26001,286.380005,295.730011,295.730011,1648800
6/22/2021,298.160004,314.5,296.869995,313.100006,313.100006,2787100
6/23/2021,306.5,316.170013,305.649994,314.730011,314.730011,1336700
6/24/2021,318.809998,319.5,303.01001,304.51001,304.51001,1725500
6/25/2021,306.329987,306.5,298.089996,300.160004,300.160004,2346100
6/28/2021,299.940002,310.059998,299.329987,305.470001,305.470001,1936400
6/29/2021,301.630005,303.404999,296.609985,301.720001,301.720001,1803300
6/30/2021,301.670013,307.450012,299.25,301.820007,301.820007,841600
7/1/2021,300,308.5,297.28299,308.01001,308.01001,712100
7/2/2021,310,313.549988,307.112,312.079987,312.079987,848400
7/6/2021,312.390015,322.130005,310.535004,316.23999,316.23999,1018500
7/7/2021,317,320.019989,312.054993,316.880005,316.880005,897800
7/8/2021,308.940002,322.619995,308.769989,322.51001,322.51001,1727000
7/9/2021,323.309998,327.779999,319.649994,323.420013,323.420013,1252500
7/12/2021,323.329987,326.809998,321.825012,324.119995,324.119995,654800
7/13/2021,325.130005,329.100006,320.880005,323.070007,323.070007,1329100
7/14/2021,323.48999,324.440002,312.415009,314.429993,314.429993,1854100
7/15/2021,314.429993,319.820007,306.73999,311.200012,311.200012,1481100
7/16/2021,314.380005,318.850006,312,313.269989,313.269989,1281300
7/19/2021,307.970001,311.209991,302.940002,311.040009,311.040009,1453900
7/20/2021,314.670013,328.26001,312.5,325.339996,325.339996,1760600
7/21/2021,323.670013,332.5,321,331.700012,331.700012,1135800
7/22/2021,330.440002,338.875,330.440002,335.230011,335.230011,1064500
7/23/2021,334.769989,341.399994,327.959991,338.920013,338.920013,1092900
7/26/2021,338.799988,339.095001,334.459991,336.640015,336.640015,724700
7/27/2021,337.019989,338.920013,327.25,336.98999,336.98999,1377800
7/28/2021,339.079987,344.320007,333.420013,339.320007,339.320007,963400
7/29/2021,337.73999,340.730011,335.399994,339.190002,339.190002,1047300
7/30/2021,336.399994,341.850006,334.299988,337.559998,337.559998,851800
8/2/2021,338,338.049988,333.359985,333.950012,333.950012,741400
8/3/2021,333.950012,335.022003,328,332.369995,332.369995,749600
8/4/2021,331.399994,334.98999,326.470001,330.910004,330.910004,666500
8/5/2021,328.450012,337.910004,328.26001,337,337,1122200
8/6/2021,365.450012,372.01001,338.5,345.649994,345.649994,3398100
8/9/2021,343.75,357.859985,339.109985,356.339996,356.339996,1681900
8/10/2021,359.540009,376.829987,358.959991,370.100006,370.100006,1902900
8/11/2021,367.380005,375.299988,356.600006,360.700012,360.700012,1418700
8/12/2021,360.540009,365.040009,356.809998,358.149994,358.149994,673400
8/13/2021,358.350006,361.950012,357.88501,360.980011,360.980011,599700
8/16/2021,359.109985,364.130005,354.127991,361.5,361.5,919500
8/17/2021,354.880005,356.929993,348.195007,352.290009,352.290009,1275600
8/18/2021,354.200012,355.029999,341.450012,350.660004,350.660004,1009300
8/19/2021,349.98999,354.519989,347.5,349.950012,349.950012,588000
